Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
API smoke,,,2018-10-24 20:31:47,2018-10-24 20:31:53,"6,068s",PASSED
,,,,,,
Test Cases/API/API test,,,2018-10-24 20:31:47,2018-10-24 20:31:48,"0,925s",PASSED
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(APIs/API request, [URLE:URLE]))",,,2018-10-24 20:31:48,2018-10-24 20:31:48,"0,281s",PASSED
verifyResponseStatusCode,,,2018-10-24 20:31:48,2018-10-24 20:31:48,"0,015s",PASSED
,,,,,,
Test Cases/API/API test,,,2018-10-24 20:31:48,2018-10-24 20:31:49,"0,090s",PASSED
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(APIs/API request, [URLE:URLE]))",,,2018-10-24 20:31:48,2018-10-24 20:31:49,"0,054s",PASSED
verifyResponseStatusCode,,,2018-10-24 20:31:49,2018-10-24 20:31:49,"0,003s",PASSED
,,,,,,
Test Cases/API/API test,,,2018-10-24 20:31:49,2018-10-24 20:31:49,"0,180s",PASSED
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(APIs/API request, [URLE:URLE]))",,,2018-10-24 20:31:49,2018-10-24 20:31:49,"0,143s",PASSED
verifyResponseStatusCode,,,2018-10-24 20:31:49,2018-10-24 20:31:49,"0,002s",PASSED
,,,,,,
Test Cases/API/API test,,,2018-10-24 20:31:49,2018-10-24 20:31:49,"0,105s",PASSED
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(APIs/API request, [URLE:URLE]))",,,2018-10-24 20:31:49,2018-10-24 20:31:49,"0,049s",PASSED
verifyResponseStatusCode,,,2018-10-24 20:31:49,2018-10-24 20:31:49,"0,004s",PASSED
,,,,,,
Test Cases/API/API test,,,2018-10-24 20:31:49,2018-10-24 20:31:49,"0,081s",PASSED
"Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(APIs/API request, [URLE:URLE]))",,,2018-10-24 20:31:49,2018-10-24 20:31:49,"0,050s",PASSED
