Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Advanced,Chrome 70.0.3538.67,,2018-10-24 15:27:11,2018-10-24 15:29:22,"2m - 11,286s",FAILED
,,,,,,
Test Cases/Home page check,Chrome 70.0.3538.67,,2018-10-24 15:27:11,2018-10-24 15:27:28,"16,043s",PASSED
callTestCase,Chrome 70.0.3538.67,,2018-10-24 15:27:12,2018-10-24 15:27:26,"13,791s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-24 15:27:26,2018-10-24 15:27:26,"0,098s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-24 15:27:26,2018-10-24 15:27:26,"0,060s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-24 15:27:26,2018-10-24 15:27:26,"0,097s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-24 15:27:26,2018-10-24 15:27:26,"0,103s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-24 15:27:26,2018-10-24 15:27:26,"0,074s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-24 15:27:26,2018-10-24 15:27:26,"0,089s",PASSED
click,Chrome 70.0.3538.67,,2018-10-24 15:27:26,2018-10-24 15:27:27,"0,149s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-24 15:27:27,2018-10-24 15:27:27,"0,084s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-24 15:27:27,2018-10-24 15:27:27,"0,097s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-24 15:27:27,2018-10-24 15:27:27,"0,077s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-24 15:27:27,2018-10-24 15:27:27,"0,072s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-24 15:27:27,2018-10-24 15:27:27,"0,056s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-24 15:27:27,2018-10-24 15:27:27,"0,095s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-24 15:27:27,2018-10-24 15:27:27,"0,067s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-24 15:27:27,2018-10-24 15:27:27,"0,070s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-24 15:27:27,2018-10-24 15:27:27,"0,099s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-24 15:27:27,2018-10-24 15:27:27,"0,089s",PASSED
closeBrowser,Chrome 70.0.3538.67,,2018-10-24 15:27:27,2018-10-24 15:27:28,"0,144s",PASSED
,,,,,,
Test Cases/Login page check,Chrome 70.0.3538.67,,2018-10-24 15:27:28,2018-10-24 15:27:40,"12,908s",PASSED
openBrowser,Chrome 70.0.3538.67,,2018-10-24 15:27:28,2018-10-24 15:27:37,"8,779s",PASSED
maximizeWindow,Chrome 70.0.3538.67,,2018-10-24 15:27:37,2018-10-24 15:27:37,"0,311s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-24 15:27:37,2018-10-24 15:27:39,"1,929s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-24 15:27:39,2018-10-24 15:27:39,"0,338s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-24 15:27:39,2018-10-24 15:27:40,"0,279s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-24 15:27:40,2018-10-24 15:27:40,"0,103s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-24 15:27:40,2018-10-24 15:27:40,"0,128s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-24 15:27:40,2018-10-24 15:27:40,"0,073s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-24 15:27:40,2018-10-24 15:27:40,"0,065s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-24 15:27:40,2018-10-24 15:27:40,"0,058s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-24 15:27:40,2018-10-24 15:27:40,"0,064s",PASSED
closeBrowser,Chrome 70.0.3538.67,,2018-10-24 15:27:40,2018-10-24 15:27:40,"0,259s",PASSED
,,,,,,
Test Cases/Payments/Dashboard check,Chrome 70.0.3538.67,,2018-10-24 15:27:40,2018-10-24 15:27:52,"11,288s",PASSED
callTestCase,Chrome 70.0.3538.67,,2018-10-24 15:27:41,2018-10-24 15:27:50,"9,185s",PASSED
click,Chrome 70.0.3538.67,,2018-10-24 15:27:50,2018-10-24 15:27:50,"0,112s",PASSED
click,Chrome 70.0.3538.67,,2018-10-24 15:27:50,2018-10-24 15:27:50,"0,190s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-24 15:27:50,2018-10-24 15:27:51,"0,058s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-24 15:27:51,2018-10-24 15:27:51,"0,072s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-24 15:27:51,2018-10-24 15:27:51,"0,044s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-24 15:27:51,2018-10-24 15:27:51,"0,043s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-24 15:27:51,2018-10-24 15:27:51,"0,042s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-24 15:27:51,2018-10-24 15:27:51,"0,044s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-24 15:27:51,2018-10-24 15:27:51,"0,051s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-24 15:27:51,2018-10-24 15:27:51,"0,046s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-24 15:27:51,2018-10-24 15:27:51,"0,053s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-24 15:27:51,2018-10-24 15:27:51,"0,047s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-24 15:27:51,2018-10-24 15:27:51,"0,039s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-24 15:27:51,2018-10-24 15:27:51,"0,049s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-24 15:27:51,2018-10-24 15:27:51,"0,040s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-24 15:27:51,2018-10-24 15:27:51,"0,041s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-24 15:27:51,2018-10-24 15:27:51,"0,042s",PASSED
verifyElementVisible,Chrome 70.0.3538.67,,2018-10-24 15:27:51,2018-10-24 15:27:51,"0,042s",PASSED
