Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smartpayment,Chrome 70.0.3538.102,,2018-11-14 09:56:16,2018-11-14 09:57:44,"1m - 27,926s",PASSED
,,,,,,
Test Cases/Payments/Create new sundry account,Chrome 70.0.3538.102,,2018-11-14 09:56:16,2018-11-14 09:56:30,"14,139s",PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-14 09:56:17,2018-11-14 09:56:28,"10,792s",PASSED
click,Chrome 70.0.3538.102,,2018-11-14 09:56:28,2018-11-14 09:56:28,"0,081s",PASSED
click,Chrome 70.0.3538.102,,2018-11-14 09:56:28,2018-11-14 09:56:28,"0,175s",PASSED
click,Chrome 70.0.3538.102,,2018-11-14 09:56:28,2018-11-14 09:56:28,"0,173s",PASSED
click,Chrome 70.0.3538.102,,2018-11-14 09:56:28,2018-11-14 09:56:28,"0,091s",PASSED
Statement - ts = java.lang.System.currentTimeMillis() / 1000,Chrome 70.0.3538.102,,2018-11-14 09:56:28,2018-11-14 09:56:28,"0,005s",PASSED
Statement - tsAsString = ts.toString(),Chrome 70.0.3538.102,,2018-11-14 09:56:28,2018-11-14 09:56:28,"0,002s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 09:56:28,2018-11-14 09:56:29,"0,946s",PASSED
"Statement - AccountName = ""QAA test Katalon - "" + tsAsString",Chrome 70.0.3538.102,,2018-11-14 09:56:29,2018-11-14 09:56:29,"0,001s",PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-14 09:56:29,2018-11-14 09:56:29,"0,155s",PASSED
click,Chrome 70.0.3538.102,,2018-11-14 09:56:29,2018-11-14 09:56:30,"0,098s",PASSED
click,Chrome 70.0.3538.102,,2018-11-14 09:56:30,2018-11-14 09:56:30,"0,125s",PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-14 09:56:30,2018-11-14 09:56:30,"0,710s",PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-14 09:56:30,2018-11-14 09:56:30,"0,054s",PASSED
verifyElementText,Chrome 70.0.3538.102,,2018-11-14 09:56:30,2018-11-14 09:56:30,"0,042s",PASSED
,,,,,,
Test Cases/Payments/SmartPayment,Chrome 70.0.3538.102,,2018-11-14 09:56:30,2018-11-14 09:56:48,"17,541s",PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-14 09:56:31,2018-11-14 09:56:39,"7,832s",PASSED
click,Chrome 70.0.3538.102,,2018-11-14 09:56:39,2018-11-14 09:56:39,"0,111s",PASSED
click,Chrome 70.0.3538.102,,2018-11-14 09:56:39,2018-11-14 09:56:39,"0,189s",PASSED
click,Chrome 70.0.3538.102,,2018-11-14 09:56:39,2018-11-14 09:56:39,"0,167s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 09:56:39,2018-11-14 09:56:40,"0,469s",PASSED
click,Chrome 70.0.3538.102,,2018-11-14 09:56:40,2018-11-14 09:56:40,"0,096s",PASSED
click,Chrome 70.0.3538.102,,2018-11-14 09:56:40,2018-11-14 09:56:40,"0,620s",PASSED
click,Chrome 70.0.3538.102,,2018-11-14 09:56:40,2018-11-14 09:56:41,"0,593s",PASSED
click,Chrome 70.0.3538.102,,2018-11-14 09:56:41,2018-11-14 09:56:41,"0,172s",PASSED
