Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Chrome 70.0.3538.64,,2018-10-25 12:29:14,2018-10-25 12:30:00,"45,285s",PASSED
,,,,,,
Test Cases/Logins test,Chrome 70.0.3538.64,,2018-10-25 12:29:15,2018-10-25 12:29:40,"25,217s",PASSED
openBrowser,Chrome 70.0.3538.64,,2018-10-25 12:29:16,2018-10-25 12:29:34,"18,226s",PASSED
setText,Chrome 70.0.3538.64,,2018-10-25 12:29:34,2018-10-25 12:29:36,"2,407s",PASSED
setText,Chrome 70.0.3538.64,,2018-10-25 12:29:36,2018-10-25 12:29:37,"0,818s",PASSED
click,Chrome 70.0.3538.64,,2018-10-25 12:29:37,2018-10-25 12:29:38,"0,412s",PASSED
verifyElementVisible,Chrome 70.0.3538.64,,2018-10-25 12:29:38,2018-10-25 12:29:39,"1,596s",PASSED
closeBrowser,Chrome 70.0.3538.64,,2018-10-25 12:29:39,2018-10-25 12:29:40,"0,892s",PASSED
,,,,,,
Test Cases/Logins test,Chrome 70.0.3538.64,,2018-10-25 12:29:40,2018-10-25 12:30:00,"19,455s",PASSED
openBrowser,Chrome 70.0.3538.64,,2018-10-25 12:29:40,2018-10-25 12:29:53,"13,295s",PASSED
setText,Chrome 70.0.3538.64,,2018-10-25 12:29:53,2018-10-25 12:29:56,"2,332s",PASSED
setText,Chrome 70.0.3538.64,,2018-10-25 12:29:56,2018-10-25 12:29:57,"0,838s",PASSED
click,Chrome 70.0.3538.64,,2018-10-25 12:29:57,2018-10-25 12:29:57,"0,548s",PASSED
verifyElementVisible,Chrome 70.0.3538.64,,2018-10-25 12:29:57,2018-10-25 12:29:59,"1,561s",PASSED
closeBrowser,Chrome 70.0.3538.64,,2018-10-25 12:29:59,2018-10-25 12:30:00,"0,858s",PASSED
